Frequency	amp(Vo1)	phase(Vo1)
100	35.454804789999997	125.7925868
104.150752	35.42034598	124.5676266
108.47379100000001	35.383350649999997	123.3047086
112.976269	35.343565040000001	122.0008205
117.665634	35.3012035	120.6529013
122.54964200000001	35.254582679999999	119.26084760000001
127.636374	35.198683840000001	117.7981372
132.93424300000001	35.148483470000002	116.3224683
138.45201399999999	35.088560690000001	114.7702407
144.198814	35.022461800000002	113.15323890000001
150.18414899999999	34.948739490000001	111.4688182
156.41792000000001	34.864011949999998	109.7045753
162.91043999999999	34.767421640000002	107.81400840000001
169.672448	34.667397819999998	105.91393050000001
176.71512999999999	34.543311080000002	103.8659332
184.05013700000001	34.388113930000003	101.6961762
191.68960200000001	34.199657520000002	99.424940140000004
199.64616100000001	33.935680859999998	97.930036079999994
207.93297799999999	33.582474269999999	98.214992440000003
216.56376	33.244439669999998	98.587499620000003
225.552785	32.896792910000002	98.936742460000005
234.91492099999999	32.546793280000003	99.275172960000006
244.66565700000001	32.20728003	99.673743270000003
254.82112100000001	31.86423624	100.062532
265.39811400000002	31.523181839999999	100.4705524
276.414131	31.180197809999999	100.9037299
287.88739600000002	30.82961422	101.30707049999999
299.83688799999999	30.49910998	101.79292649999999
312.28237300000001	30.152008080000002	102.2186959
325.24444	29.815924429999999	102.72847230000001
338.744529	29.48211817	103.2650793
352.80497400000002	29.148906759999999	103.79647970000001
367.44903399999998	28.809929749999998	104.3096165
382.70093100000003	28.47826667	104.8991735
398.58589799999999	28.14610953	105.4814908
415.13020899999998	27.824827679999999	106.12487659999999
432.36123500000002	27.496661060000001	106.7623524
450.30747700000001	27.173659480000001	107.415693
468.99862300000001	26.848891330000001	108.09626849999999
488.46559200000002	26.530470210000001	108.802763
508.740587	26.207834980000001	109.5297709
529.85714700000005	25.8878068	110.27377920000001
551.85020299999996	25.583893329999999	111.0510127
574.75613499999997	25.274159699999998	111.8508782
598.61283700000001	24.963077089999999	112.6866715
623.45977000000005	24.666605350000001	113.5309429
649.33803899999998	24.36927618	114.40421019999999
676.29044999999996	24.073271429999998	115.3144119
704.36158899999998	23.782237630000001	116.2340119
733.597891	23.490456269999999	117.14997339999999
764.04771900000003	23.20884525	118.160403
795.76144499999998	22.935886610000001	119.1473247
828.79152799999997	22.66592507	120.17445979999999
863.19260799999995	22.392665409999999	121.1795108
899.02159200000006	22.131098619999999	122.29431750000001
936.33774800000003	21.88125088	123.3810577
975.20280500000001	21.631284340000001	124.5001101
1015.681054	21.38717308	125.62306940000001
1057.839455	21.144279910000002	126.7684192
1101.747746	20.918704179999999	127.9313575
1147.478562	20.694654079999999	129.12250420000001
1195.1075499999999	20.474792749999999	130.29547529999999
1244.7135000000001	20.268243720000001	131.50505129999999
1296.378469	20.066122589999999	132.73975759999999
1350.187923	19.86973695	133.94771180000001
1406.2308740000001	19.676868469999999	135.15378419999999
1464.6000289999999	19.495523890000001	136.41336459999999
1525.3919430000001	19.322922470000002	137.69822389999999
1588.7071780000001	19.160817489999999	138.9342633
1654.650472	19.000299170000002	140.15293109999999
1723.3309079999999	18.848809840000001	141.3862249
1794.8620989999999	18.711280299999999	142.67142319999999
1869.3623709999999	18.57471168	143.82083230000001
1946.954966	18.444709499999998	145.08374259999999
2027.7682359999999	18.32893632	146.32772410000001
2111.9358649999999	18.214303229999999	147.54227470000001
2199.597084	18.11013071	148.68985050000001
2290.896902	18.00490091	149.84341420000001
2385.9863489999998	17.918926849999998	151.0203679
2485.022723	17.829019070000001	152.14861519999999
2588.1698510000001	17.74690013	153.46765780000001
2695.59836	17.67406381	154.85593220000001
2807.4859609999999	17.603152099999999	156.19741540000001
2924.017738	17.494280750000001	157.65909629999999
3045.3864600000002	17.490360859999999	158.879783
3171.7928969999998	17.406441279999999	160.25935269999999
3303.446152	17.39598458	161.47090230000001
3440.5640060000001	17.356846659999999	162.79841759999999
3583.373282	17.31792484	164.1728669
3732.1102169999999	17.214255309999999	165.5097275
3887.0208539999999	17.21701921	166.79145679999999
4048.3614459999999	17.230401579999999	167.98926320000001
4216.3988859999999	17.184138310000002	169.31258399999999
4391.4111439999997	17.230639870000001	170.56439649999999
4573.6877260000001	17.183795320000002	171.79930010000001
4763.5301570000001	17.22271302	173.03995520000001
4961.2524759999997	17.126013369999999	174.2813749
5167.1817579999997	17.13760839	175.6159696
5381.6586539999998	17.21063208	176.81588840000001
5605.037953	17.254545159999999	178.05697910000001
5837.6891729999998	17.211493539999999	179.33304749999999
6079.9971679999999	17.168592350000001	180.4936434
6332.3627669999996	17.182898789999999	181.7082006
6595.2034359999998	17.151988620000001	182.99674659999999
6868.9539690000001	17.325431739999999	184.13693670000001
7154.0672070000001	17.347720370000001	185.36237740000001
7451.0147889999998	17.435872610000001	186.56218179999999
7760.2879279999997	17.487458799999999	187.77208469999999
8082.3982269999997	17.643313670000001	189.0783782
8417.8785260000004	17.61175643	190.2047263
8767.2837799999998	17.671466120000002	191.30982850000001
9131.1919799999996	17.887228069999999	192.63055700000001
9510.2051059999994	17.94559692	193.84741399999999
9904.9501259999997	17.963391510000001	194.91455060000001
10316.080029999999	18.00540767	195.99055319999999
10744.27492	18.107151940000001	197.12818350000001
11190.243119999999	18.414933770000001	198.43017889999999
11654.72235	18.315267160000001	199.291281
12138.480960000001	18.631707330000001	200.71903789999999
12642.31919	18.759604530000001	201.76343130000001
13167.0705	18.95700312	202.86166589999999
13713.602929999999	18.98008772	203.64128249999999
14282.82056	19.025577309999999	204.52555359999999
14875.665010000001	19.42027929	205.9493047
15493.116959999999	19.5821416	206.8774981
